step,training_loss,validation_loss
9700,2.063,
9710,2.1936,
9720,1.7832,
9730,1.9991,
9740,1.9832,
9750,1.7346,
9760,2.1457,
9770,1.8838,
9780,1.8081,
9790,2.0563,
9800,2.0608,
9810,2.3296,
9820,2.0278,
9830,2.1295,
9840,1.7907,
9850,1.8359,
9860,1.9903,
9870,1.8464,
9880,2.2869,
9890,1.6206,
9900,2.0729,
9910,2.008,
9920,2.0686,
9930,2.5006,
9940,2.0018,
9950,1.7911,
9960,1.7121,
9970,1.8611,
9980,2.1595,
9990,1.9795,
10000,2.0627,
10010,1.9281,
10020,1.7462,
10030,1.9733,
10040,2.3657,
10050,1.8055,
10060,2.2908,
10070,1.9662,
10080,2.0546,
10090,2.2395,
10100,1.8043,
10110,1.9128,
10120,1.9767,
10130,1.7566,
10140,2.1218,
10150,2.0343,
10160,2.3792,
10170,2.2899,
10180,1.6881,
10190,2.0763,
10200,1.9087,
10210,2.0316,
10220,1.865,
10230,1.8263,
10240,2.1124,
10250,2.1304,
10260,1.8642,
10270,1.9811,
10280,1.8892,
10290,2.118,
10300,1.9427,
10310,1.8753,
10320,1.8241,
10330,1.8248,
10340,2.0681,
10350,1.8762,
10360,2.2304,
10370,1.9717,
10380,2.0868,
10390,1.8522,
10400,2.1717,
10410,2.1094,
10420,2.1238,
10430,2.0014,
10440,1.8838,
10450,2.1542,
10460,1.8021,
10470,1.726,
10480,2.2354,
10490,1.8267,
10500,1.7809,
10510,2.0927,
10520,1.9994,
10530,2.1923,
10540,1.8309,
10550,2.6652,
10560,1.9602,
10570,1.9268,
10580,2.005,
10590,2.3863,
10600,1.7931,
10610,1.8418,
10620,2.0114,
10630,2.0478,
10640,2.3435,
10650,1.8276,
10660,1.8202,
10670,1.803,
10680,1.9712,
10690,1.9663,
10700,1.9774,
10710,1.8971,
10720,2.1716,
10730,1.9221,
10740,1.925,
10750,1.8164,
10760,1.9699,
10770,1.6607,
10780,2.0672,
10790,2.1638,
10800,1.9201,
10810,2.0232,
10820,1.9535,
10830,2.3345,
10840,1.8714,
10850,1.8524,
10860,1.7483,
10870,2.0321,
10880,2.107,
10890,2.2793,
10900,1.8568,
10910,1.6728,
10920,2.0619,
10930,1.7845,
10940,2.2473,
10950,2.041,
10960,2.0752,
10970,1.8001,
10980,2.1178,
10990,2.1675,
11000,2.1313,
11010,1.6173,
11020,1.8538,
11030,2.1761,
11040,1.6636,
11050,1.8259,
11060,2.2128,
11070,1.9175,
11080,1.8707,
11090,2.2001,
11100,1.9727,
11110,2.1912,
11120,1.8895,
11130,1.7781,
11140,1.9514,
11150,2.1978,
11160,2.0863,
11170,1.8552,
11180,2.0671,
11190,2.0732,
11200,2.0485,
11210,2.2634,
11220,2.0935,
11230,2.1315,
11240,1.8553,
11250,1.8786,
11260,1.9953,
11270,1.9977,
11280,1.754,
11290,2.012,
11300,1.9308,
11310,2.1298,
11320,2.1113,
11330,2.013,
11340,2.1269,
11350,2.031,
11360,2.1665,
11370,1.9744,
11380,1.8957,
11390,1.8181,
11400,2.1649,
11410,2.0321,
11420,1.8437,
11430,2.1677,
11440,2.0361,
11450,1.7722,
11460,1.8984,
11470,2.1269,
11480,1.8526,
11490,1.9827,
11500,2.1618,
11510,1.9173,
11520,2.2844,
11530,1.8867,
11540,2.2082,
11550,2.101,
11560,1.8186,
11570,2.1591,
11580,2.0224,
11590,1.7808,
11600,1.8126,
11610,2.1183,
11620,1.8436,
11630,2.0311,
11640,1.8794,
11650,1.9739,
11660,2.0573,
11670,1.8389,
11680,1.807,
11690,2.1382,
11700,2.1121,
11710,1.9823,
11720,1.5967,
11730,1.7195,
11740,2.232,
11750,1.7896,
11760,1.9515,
11770,1.9554,
