step,training_loss,validation_loss
11460,1.8706,
11470,2.0781,
11480,1.8375,
11490,1.9539,
11500,2.1468,
11510,1.893,
11520,2.2287,
11530,1.8499,
11540,2.1321,
11550,2.0853,
11560,1.7903,
11570,2.1451,
11580,1.9956,
11590,1.7647,
11600,1.7908,
11610,2.093,
11620,1.7985,
11630,2.0105,
11640,1.8244,
11650,1.9303,
11660,2.0354,
11670,1.8114,
11680,1.7587,
11690,2.1236,
11700,2.1058,
11710,1.9879,
11720,1.579,
11730,1.7035,
11740,2.198,
11750,1.7804,
11760,1.9358,
11770,1.9137,
11780,1.9692,
11790,2.1244,
11800,1.896,
11810,1.8928,
11820,2.1366,
11830,2.0365,
11840,1.7744,
11850,2.1569,
11860,2.2706,
11870,1.9628,
11880,2.0811,
11890,1.8799,
11900,2.1893,
11910,1.8327,
11920,1.8069,
11930,1.9258,
11940,1.7803,
11950,2.2262,
11960,1.9043,
11970,1.8703,
11980,2.2859,
